,CHURN,AREA,VMAIL,VMAIL_MSGS,DAY_MINS,DAY_CALLS,DAY_CHARGE,EVE_MINS,EVE_CALLS,EVE_CHARGE,NIGHT_MINS,NIGHT_CALLS,NIGHT_CHARGE,INTL_MINS,INTL_CALLS,INTL_CHARGE,SVC_CALLS
25,0,408,1,0,196.7,85,33.44,205.9,74,17.5,216.6,112,9.75,11.2,5,3.02,3
26,0,408,0,26,131.2,98,22.3,106.5,97,9.05,221.7,96,9.98,10.2,6,2.75,2
27,0,408,0,23,149.6,96,25.43,239.8,124,20.38,293.5,135,13.21,7.4,4,2.0,2
28,0,415,1,0,239.8,70,40.77,251.8,99,21.4,168.6,112,7.59,10.9,10,2.94,1
29,0,408,0,31,142.1,77,24.16,193.0,97,16.41,253.4,88,11.4,11.0,4,2.97,1
30,0,510,1,0,115.4,137,19.62,178.7,70,15.19,185.7,113,8.36,6.0,3,1.62,3
31,0,510,0,31,193.0,99,32.81,224.8,87,19.11,197.6,91,8.89,10.3,8,2.78,2
32,0,415,1,0,206.1,49,35.04,224.6,115,19.09,256.7,74,11.55,13.0,1,3.51,1
33,0,415,1,0,160.3,138,27.25,221.3,92,18.81,150.4,120,6.77,11.2,2,3.02,0
34,0,415,1,0,199.9,108,33.98,288.4,80,24.51,180.6,103,8.13,11.3,7,3.05,1
35,0,415,1,0,213.1,105,36.23,206.2,108,17.53,163.4,93,7.35,8.9,3,2.4,0
36,0,415,1,0,178.3,102,30.31,235.0,120,19.98,239.7,119,10.79,10.9,1,2.94,3
37,1,510,1,0,252.3,120,42.89,207.0,112,17.6,284.6,95,12.81,12.0,5,3.24,3
38,0,415,1,0,197.7,64,33.61,136.7,126,11.62,244.4,81,11.0,13.2,5,3.56,4
39,0,510,0,29,111.1,105,18.89,217.9,101,18.52,248.1,108,11.16,6.6,3,1.78,2
40,1,415,1,0,96.5,86,16.41,210.2,133,17.87,146.4,106,6.59,12.5,3,3.38,1
41,0,415,1,0,156.9,109,26.67,122.2,87,10.39,189.1,103,8.51,11.3,5,3.05,3
42,0,415,1,0,123.3,78,20.96,170.0,85,14.45,165.9,78,7.47,12.7,2,3.43,1
43,0,415,1,0,193.7,108,32.93,183.2,124,15.57,293.7,72,13.22,10.8,5,2.92,1
44,0,408,1,0,206.9,134,35.17,167.7,105,14.25,155.7,86,7.01,10.9,4,2.94,0
45,1,415,1,0,249.8,96,42.47,261.9,92,22.26,166.8,108,7.51,12.7,4,3.43,3
46,0,408,1,0,144.0,102,24.48,224.7,73,19.1,227.7,91,10.25,10.0,7,2.7,1
47,0,415,0,33,299.5,83,50.92,163.4,84,13.89,146.7,88,6.6,11.6,5,3.13,0
48,1,415,1,0,226.0,127,38.42,304.6,83,25.89,181.2,132,8.15,12.6,4,3.4,2
49,0,415,1,0,137.6,106,23.39,143.5,94,12.2,273.7,110,12.32,9.6,6,2.59,2
50,0,415,0,26,211.7,121,35.99,139.2,123,11.83,146.7,89,6.6,11.1,3,3.0,1
51,0,415,1,0,89.7,80,15.25,179.8,81,15.28,145.7,120,6.56,9.5,4,2.57,2
52,0,408,1,0,197.6,126,33.59,246.5,112,20.95,285.3,104,12.84,12.5,8,3.38,2
53,1,408,1,0,270.0,102,45.9,256.6,111,21.81,168.5,104,7.58,12.0,5,3.24,2
54,0,415,1,0,224.7,116,38.2,192.0,79,16.32,212.2,98,9.55,11.3,11,3.05,3
55,0,510,1,0,194.3,99,33.03,123.6,133,10.51,229.5,99,10.33,10.2,2,2.75,2
56,1,510,1,0,47.7,89,8.11,264.4,95,22.47,235.2,97,10.58,13.2,3,3.56,0
57,0,415,1,0,190.1,105,32.32,182.2,116,15.49,279.8,105,12.59,13.0,2,3.51,1
58,1,408,1,0,89.5,94,15.22,339.9,106,28.89,172.9,76,7.78,7.9,1,2.13,1
59,0,415,1,0,182.6,83,31.04,154.5,111,13.13,196.0,57,8.82,12.1,5,3.27,0
60,0,415,0,35,205.5,86,34.94,298.5,119,25.37,214.2,104,9.64,6.9,4,1.86,1
61,0,415,1,0,231.5,82,39.36,266.9,97,22.69,211.0,118,9.49,7.4,10,2.0,1
62,1,510,1,0,251.3,69,42.72,252.5,96,21.46,118.3,112,5.32,9.9,1,2.67,3
63,0,415,1,0,171.2,103,29.1,243.5,121,20.7,178.2,92,8.02,13.0,3,3.51,2
64,0,510,1,0,197.9,89,33.64,251.0,113,21.34,138.3,85,6.22,11.2,2,3.02,2
65,0,510,1,0,134.8,94,22.92,204.1,106,17.35,238.4,109,10.73,6.7,8,1.81,1
66,0,415,1,0,191.4,114,32.54,168.5,138,14.32,109.3,99,4.92,10.3,3,2.78,1
67,0,415,1,0,174.5,65,29.67,197.4,116,16.78,238.5,86,10.73,10.6,2,2.86,0
68,0,415,1,0,177.4,125,30.16,226.2,104,19.23,254.1,72,11.43,10.9,4,2.94,0
69,0,510,1,0,182.1,89,30.96,211.5,104,17.98,207.4,124,9.33,6.8,1,1.84,1
70,0,408,1,0,222.4,85,37.81,165.4,76,14.06,208.4,97,9.38,11.2,4,3.02,0
71,1,510,1,0,47.8,120,8.13,178.9,123,15.21,152.6,96,6.87,13.3,7,3.59,0
72,0,510,1,0,121.8,97,20.71,89.3,97,7.59,150.7,92,6.78,10.3,5,2.78,1
73,0,415,1,0,143.5,121,24.4,189.3,111,16.09,174.9,82,7.87,8.8,5,2.38,3
74,0,415,1,0,164.9,68,28.03,210.4,86,17.88,229.4,104,10.32,7.8,4,2.11,2
75,0,415,1,0,193.6,58,32.91,148.7,115,12.64,282.5,105,12.71,13.1,1,3.54,2
76,0,510,1,0,101.1,121,17.19,263.2,110,22.37,137.7,74,6.2,7.3,5,1.97,0
77,0,415,0,24,92.3,88,15.69,193.1,98,16.41,99.3,119,4.47,11.6,3,3.13,2
78,0,415,1,0,168.9,128,28.71,123.9,99,10.53,266.3,105,11.98,2.9,7,0.78,2
79,0,510,0,29,219.2,102,37.26,206.0,109,17.51,192.4,117,8.66,15.0,5,4.05,1
80,0,510,0,37,178.1,130,30.28,242.8,103,20.64,243.0,93,10.93,13.0,4,3.51,0
81,0,510,1,0,146.5,101,24.91,284.5,142,24.18,176.0,98,7.92,14.0,6,3.78,3
82,0,415,0,31,172.3,116,29.29,266.2,91,22.63,228.2,90,10.27,11.8,5,3.19,1
83,0,415,1,0,190.9,143,32.45,149.7,72,12.72,191.4,87,8.61,13.0,3,3.51,1
84,1,415,1,0,232.1,74,39.46,327.1,88,27.8,226.5,119,10.19,10.9,2,2.94,3
85,1,415,1,0,169.2,124,28.76,173.3,108,14.73,216.5,64,9.74,12.4,4,3.35,4
86,0,510,1,0,123.8,107,21.05,319.0,125,27.12,237.6,78,10.69,7.3,4,1.97,2
87,0,510,1,0,96.0,117,16.32,177.0,68,15.05,162.2,127,7.3,9.7,4,2.62,3
88,0,408,0,27,93.4,106,15.88,252.0,92,21.42,189.0,104,8.5,10.9,1,2.94,1
89,0,415,1,0,90.6,130,15.4,170.6,100,14.5,137.4,74,6.18,5.4,9,1.46,1
90,0,510,1,0,152.9,81,25.99,256.6,82,21.81,173.6,112,7.81,5.3,6,1.43,2
91,0,408,1,0,257.9,92,43.84,211.6,71,17.99,189.3,104,8.52,9.4,2,2.54,2
92,0,408,0,29,85.2,98,14.48,230.4,85,19.58,243.6,104,10.96,9.0,3,2.43,2
93,0,415,0,34,160.0,72,27.2,184.5,119,15.68,208.3,101,9.37,6.1,10,1.65,1
94,0,415,0,10,182.9,54,31.09,292.4,68,24.85,142.3,116,6.4,11.5,4,3.11,0
95,0,415,1,0,216.2,67,36.75,222.2,133,18.89,192.0,95,8.64,3.1,1,0.84,2
96,0,415,1,0,261.7,105,44.49,181.8,107,15.45,100.9,131,4.54,3.3,5,0.89,0
97,0,415,1,0,241.2,105,41.0,174.3,85,14.82,245.3,59,11.04,8.5,4,2.3,2
98,0,510,1,0,177.2,142,30.12,123.5,88,10.5,213.2,51,9.59,8.4,6,2.27,1
99,0,510,1,0,89.5,128,15.22,180.8,137,15.37,193.1,94,8.69,14.0,3,3.78,2
100,0,415,0,16,200.3,72,34.05,197.8,91,16.81,151.1,92,6.8,10.4,3,2.81,1
101,1,510,1,0,145.0,103,24.65,294.3,93,25.02,239.8,120,10.79,11.0,2,2.97,4
102,0,510,1,0,159.5,99,27.12,119.7,149,10.17,173.9,126,7.83,6.8,3,1.84,2
103,0,415,1,0,151.8,106,25.81,138.0,126,11.73,233.5,112,10.51,11.2,8,3.02,3
104,0,408,1,0,176.2,120,29.95,236.0,138,20.06,152.5,104,6.86,10.6,4,2.86,1
105,0,408,1,0,152.1,95,25.86,121.0,105,10.29,198.0,126,8.91,9.8,5,2.65,0
106,0,408,1,0,161.3,122,27.42,220.6,95,18.75,224.7,104,10.11,9.6,3,2.59,1
107,0,510,1,0,171.7,78,29.19,144.5,86,12.28,157.9,106,7.11,6.8,3,1.84,3
108,1,415,1,0,278.9,110,47.41,190.2,67,16.17,255.2,84,11.48,11.7,7,3.16,0
109,0,415,0,27,213.0,121,36.21,226.2,101,19.23,189.8,99,8.54,11.1,3,3.0,4
110,0,415,0,36,242.9,67,41.29,170.9,59,14.53,177.3,130,7.98,4.8,12,1.3,1
111,1,415,1,0,217.2,121,36.92,303.4,73,25.79,197.1,71,8.87,12.4,2,3.35,0
112,0,415,1,0,175.9,111,29.9,285.2,115,24.24,150.8,122,6.79,13.0,7,3.51,1
113,1,415,1,0,303.2,133,51.54,170.5,86,14.49,227.6,80,10.24,11.5,3,3.11,0
114,0,415,1,0,238.9,107,40.61,187.2,88,15.91,181.1,84,8.15,11.8,3,3.19,2
115,0,415,0,22,189.6,42,32.23,179.0,137,15.22,179.6,126,8.08,11.4,5,3.08,2
116,1,408,1,0,133.3,94,22.66,247.8,126,21.06,219.0,78,9.86,11.3,5,3.05,5
117,0,415,0,28,92.7,107,15.76,127.8,86,10.86,225.6,86,10.15,9.9,4,2.67,3
118,0,415,1,0,177.2,72,30.12,248.9,105,21.16,200.8,87,9.04,8.6,7,2.32,3
119,0,415,1,0,184.5,103,31.37,209.0,86,17.77,169.7,70,7.64,10.2,6,2.75,2
120,0,415,0,24,176.1,109,29.94,159.4,81,13.55,269.1,94,12.11,12.1,9,3.27,0
121,0,415,1,0,204.7,108,34.8,143.1,105,12.16,165.8,84,7.46,11.0,4,2.97,6
122,0,510,1,0,143.6,80,24.41,134.3,65,11.42,215.6,84,9.7,15.5,5,4.19,2
123,0,408,1,0,179.3,93,30.48,188.8,65,16.05,253.2,88,11.39,12.1,5,3.27,1
124,0,415,1,0,137.3,100,23.34,212.2,129,18.04,152.7,92,6.87,10.5,2,2.84,1
125,0,408,1,0,237.8,92,40.43,223.5,155,19.0,217.4,90,9.78,10.2,6,2.75,2
126,0,510,1,0,203.7,92,34.63,216.4,97,18.39,154.2,66,6.94,7.6,5,2.05,2
127,0,415,0,25,191.3,95,32.52,250.7,136,21.31,249.4,86,11.22,17.6,5,4.75,2
128,0,510,1,0,209.1,141,35.55,205.0,93,17.43,119.4,111,5.37,7.8,3,2.11,2
129,0,510,0,33,88.8,104,15.1,109.6,94,9.32,172.7,107,7.77,7.1,9,1.92,3
130,0,510,1,0,97.2,88,16.52,155.6,85,13.23,261.6,105,11.77,12.4,5,3.35,0
131,0,510,1,0,137.9,96,23.44,192.6,63,16.37,255.7,125,11.51,11.0,5,2.97,1
132,0,510,1,0,224.3,112,38.13,185.7,103,15.78,159.4,83,7.17,10.0,1,2.7,2
133,0,408,0,13,207.6,65,35.29,152.7,77,12.98,232.8,95,10.48,9.7,3,2.62,1
134,0,510,1,0,268.1,95,45.58,120.5,126,10.24,220.8,121,9.94,14.4,6,3.89,2
135,1,415,1,0,166.7,61,28.34,179.3,88,15.24,242.7,131,10.92,6.8,7,1.84,4
136,1,408,1,0,267.1,104,45.41,180.4,131,15.33,230.6,106,10.38,17.3,4,4.67,1
137,0,415,1,0,181.8,108,30.91,198.6,148,16.88,206.6,96,9.3,9.3,3,2.51,2
138,0,415,1,0,147.1,80,25.01,199.7,100,16.97,160.7,106,7.23,13.7,7,3.7,0
139,0,415,0,29,37.7,115,6.41,144.1,111,12.25,226.6,101,10.2,4.9,3,1.32,1
140,0,415,1,0,185.0,88,31.45,224.9,98,19.12,212.4,105,9.56,11.4,3,3.08,2
141,0,415,1,0,156.4,108,26.59,171.0,116,14.54,196.1,96,8.82,8.6,4,2.32,2
142,0,510,1,0,239.3,84,40.68,195.7,85,16.63,232.6,104,10.47,10.9,3,2.94,1
143,0,415,0,29,215.5,129,36.64,161.9,77,13.76,128.3,91,5.77,8.8,5,2.38,2
144,0,510,1,0,134.9,70,22.93,211.5,74,17.98,188.5,105,8.48,11.3,6,3.05,1
145,0,415,1,0,194.8,116,33.12,209.9,93,17.84,194.1,100,8.73,12.8,3,3.46,0
146,0,408,0,20,239.1,105,40.65,209.1,111,17.77,268.2,130,12.07,13.3,3,3.59,5
147,0,510,1,0,92.6,85,15.74,177.6,92,15.1,159.8,72,7.19,14.4,4,3.89,3
148,0,510,1,0,209.4,133,35.6,211.5,121,17.98,291.2,123,13.1,7.2,4,1.94,1
149,0,415,1,0,197.6,83,33.59,164.5,86,13.98,94.0,98,4.23,6.4,6,1.73,1
150,0,408,1,0,17.6,121,2.99,161.7,125,13.74,203.1,82,9.14,10.6,6,2.86,1
151,0,415,1,0,62.9,112,10.69,202.9,111,17.25,259.0,58,11.66,8.9,8,2.4,1
152,0,415,0,28,202.3,97,34.39,69.2,84,5.88,257.6,64,11.59,6.7,3,1.81,1
153,0,415,1,0,136.1,116,23.14,181.4,93,15.42,131.4,108,5.91,11.3,4,3.05,0
154,0,408,1,0,207.0,109,35.19,167.4,80,14.23,238.2,117,10.72,2.6,6,0.7,1
155,0,408,0,33,207.9,95,35.34,233.5,88,19.85,221.3,92,9.96,13.5,3,3.65,1
156,1,415,1,0,276.5,122,47.01,195.6,79,16.63,210.3,78,9.46,7.2,3,1.94,1
157,0,415,0,31,313.8,87,53.35,147.7,103,12.55,192.7,97,8.67,10.1,7,2.73,3
158,0,415,0,25,288.5,114,49.05,203.4,74,17.29,228.4,117,10.28,13.0,5,3.51,1
159,0,408,1,0,210.9,85,35.85,329.3,69,27.99,127.1,78,5.72,9.4,5,2.54,4
160,0,408,0,35,64.9,76,11.03,184.1,91,15.65,151.6,75,6.82,14.6,1,3.94,1
161,0,510,0,26,243.5,137,41.4,236.8,108,20.13,173.3,149,7.8,9.0,9,2.43,1
162,0,408,1,0,197.0,97,33.49,203.7,107,17.31,202.0,105,9.09,8.7,3,2.35,3
163,0,415,0,31,278.0,88,47.26,253.2,65,21.52,223.2,114,10.04,8.7,4,2.35,0
164,0,510,0,37,219.9,102,37.38,222.1,77,18.88,118.5,111,5.33,10.0,4,2.7,1
165,1,510,1,0,313.2,103,53.24,216.3,151,18.39,218.4,106,9.83,12.8,4,3.46,2
166,0,408,0,16,145.7,88,24.77,191.0,129,16.24,215.5,82,9.7,11.3,7,3.05,0
167,0,415,0,37,75.8,102,12.89,173.6,147,14.76,162.6,96,7.32,8.2,13,2.21,0
168,0,415,1,0,195.9,86,33.3,228.6,82,19.43,303.5,94,13.66,12.2,4,3.29,3
169,0,415,1,0,132.0,95,22.44,231.2,74,19.65,313.4,108,14.1,8.7,10,2.35,1
170,0,510,1,0,124.0,102,21.08,262.1,101,22.28,268.2,98,12.07,11.7,2,3.16,2
171,0,415,1,0,171.9,98,29.22,159.0,127,13.52,139.5,101,6.28,7.6,3,2.05,2
172,0,510,0,31,249.4,70,42.4,209.5,59,17.81,180.6,75,8.13,9.9,2,2.67,4
173,0,415,1,0,228.4,100,38.83,145.1,108,12.33,245.3,140,11.04,7.7,7,2.08,0
174,0,510,1,0,168.6,71,28.66,205.1,48,17.43,175.8,88,7.91,5.9,2,1.59,3
175,0,415,1,0,123.7,138,21.03,248.5,105,21.12,269.6,78,12.13,13.3,4,3.59,0
176,0,415,1,0,178.7,61,30.38,252.3,84,21.45,255.7,76,11.51,8.4,4,2.27,1
177,0,415,1,0,113.2,86,19.24,185.5,97,15.77,237.3,145,10.68,9.5,5,2.57,1
178,0,415,0,25,142.4,106,24.21,313.7,109,26.66,126.6,117,5.7,13.4,6,3.62,2
179,0,415,0,38,204.2,57,34.71,205.9,92,17.5,286.5,80,12.89,8.3,4,2.24,0
180,0,415,1,0,149.7,71,25.45,212.5,97,18.06,245.9,67,11.07,12.6,4,3.4,3
181,1,415,1,0,227.1,116,38.61,120.5,103,10.24,117.0,102,5.27,4.7,4,1.27,5
182,0,415,1,0,155.3,75,26.4,169.9,87,14.44,207.0,133,9.32,12.6,5,3.4,2
183,0,408,1,0,156.4,105,26.59,185.5,98,15.77,226.7,96,10.2,11.8,3,3.19,1
184,0,415,0,42,148.7,105,25.28,167.3,105,14.22,270.6,105,12.18,10.4,7,2.81,0
185,0,510,1,0,271.7,112,46.19,155.1,96,13.18,199.5,97,8.98,6.6,4,1.78,3
186,0,415,1,0,193.7,74,32.93,126.9,84,10.79,221.2,166,9.95,8.8,4,2.38,0
187,0,415,0,23,245.5,54,41.74,292.7,83,24.88,184.0,90,8.28,10.8,7,2.92,1
188,1,510,1,0,245.3,108,41.7,259.9,140,22.09,204.3,115,9.19,10.7,2,2.89,3
189,0,408,1,0,196.1,87,33.34,236.8,66,20.13,182.3,75,8.2,11.9,1,3.21,0
190,0,415,1,0,134.1,112,22.8,195.1,104,16.58,159.6,139,7.18,10.5,2,2.84,2
191,0,510,0,31,225.0,78,38.25,191.3,79,16.26,226.7,79,10.2,9.1,3,2.46,1
192,0,510,1,0,189.7,100,32.25,115.9,133,9.85,220.6,115,9.93,7.4,4,2.0,0
193,0,415,1,0,142.9,96,24.29,177.9,96,15.12,113.3,117,5.1,6.6,4,1.78,0
194,0,415,1,0,175.6,80,29.85,238.0,94,20.23,198.4,103,8.93,10.2,6,2.75,1
195,0,415,1,0,92.4,109,15.71,219.0,115,18.62,212.6,80,9.57,12.9,4,3.48,2
196,0,510,1,0,92.8,92,15.78,159.6,87,13.57,148.7,115,6.69,8.8,5,2.38,1
197,0,415,0,27,221.7,100,37.69,236.1,70,20.07,192.7,91,8.67,8.0,4,2.16,0
198,0,510,1,0,159.6,94,27.13,276.8,118,23.53,223.5,65,10.06,8.8,3,2.38,0
199,0,415,1,0,144.5,107,24.57,180.5,85,15.34,226.0,94,10.17,17.0,6,4.59,2
200,0,415,1,0,159.1,100,27.05,202.5,90,17.21,233.1,96,10.49,11.5,6,3.11,2
201,0,510,1,0,49.9,123,8.48,150.7,81,12.81,188.2,67,8.47,10.1,4,2.73,2
202,0,415,0,32,116.9,120,19.87,232.4,97,19.75,127.7,112,5.75,11.0,9,2.97,0
203,0,415,1,0,150.0,98,25.5,89.8,95,7.63,326.0,91,14.67,11.1,3,3.0,3
204,0,415,1,0,254.4,120,43.25,159.3,92,13.54,264.4,94,11.9,6.0,5,1.62,1
205,0,415,0,33,270.7,53,46.02,200.7,116,17.06,201.7,102,9.08,10.9,3,2.94,3
206,0,415,1,0,207.0,112,35.19,173.8,96,14.77,178.4,61,8.03,12.1,3,3.27,1
207,0,510,1,0,145.3,89,24.7,303.8,93,25.82,206.1,82,9.27,8.9,4,2.4,0
208,0,408,0,25,230.7,102,39.22,233.8,109,19.87,215.8,90,9.71,13.5,2,3.65,3
209,0,415,1,0,151.5,104,25.76,242.2,114,20.59,304.2,109,13.69,10.8,2,2.92,1
210,0,408,1,0,146.1,57,24.84,196.2,97,16.68,310.1,110,13.95,9.2,3,2.48,0
211,0,415,1,0,256.0,111,43.52,187.4,61,15.93,119.1,81,5.36,11.5,4,3.11,3
212,0,408,0,35,200.2,105,34.03,244.4,88,20.77,207.2,97,9.32,11.6,4,3.13,3
213,0,415,1,0,150.7,52,25.62,246.7,96,20.97,103.8,118,4.67,7.0,4,1.89,2
214,0,415,1,0,186.0,107,31.62,66.0,94,5.61,213.1,105,9.59,12.9,4,3.48,1
215,0,415,1,0,212.9,110,36.19,187.0,69,15.9,128.1,71,5.76,6.3,3,1.7,3
216,0,510,1,0,194.8,133,33.12,213.4,73,18.14,190.8,92,8.59,11.5,7,3.11,0
217,0,415,0,30,272.5,105,46.33,253.0,83,21.51,180.8,123,8.14,8.7,6,2.35,3
218,0,415,1,0,135.1,109,22.97,205.2,99,17.44,166.3,119,7.48,11.7,4,3.16,1
219,0,408,1,0,154.6,56,26.28,263.0,84,22.36,367.7,89,16.55,15.5,2,4.19,1
220,0,510,0,35,230.5,116,39.19,265.8,130,22.59,269.7,69,12.14,10.6,6,2.86,5
221,0,510,1,0,165.4,84,28.12,203.7,107,17.31,201.7,65,9.08,8.2,1,2.21,1
222,1,510,1,0,143.3,120,24.36,230.7,111,19.61,214.3,91,9.64,7.8,2,2.11,4
223,1,415,1,0,271.1,108,46.09,237.0,122,20.15,239.9,122,10.8,9.8,5,2.65,2
224,0,415,1,0,253.5,104,43.1,117.9,123,10.02,248.5,104,11.18,14.0,2,3.78,0
225,1,415,1,0,167.1,77,28.41,131.8,79,11.2,187.4,98,8.43,9.4,1,2.54,6
226,0,415,1,0,168.3,96,28.61,87.6,91,7.45,247.2,87,11.12,8.4,6,2.27,1
227,0,415,1,0,104.7,115,17.8,249.8,144,21.23,192.3,99,8.65,8.9,2,2.4,1
228,0,510,1,0,135.4,101,23.02,238.1,124,20.24,195.6,102,8.8,10.6,2,2.86,1
229,0,415,0,34,191.4,102,32.54,361.8,96,30.75,147.5,132,6.64,7.2,2,1.94,1
230,0,415,1,0,158.7,90,26.98,198.4,117,16.86,181.1,76,8.15,10.5,4,2.84,1
231,0,510,1,0,144.8,84,24.62,164.9,141,14.02,231.5,75,10.42,8.2,4,2.21,2
232,0,415,1,0,98.8,97,16.8,146.9,68,12.49,190.7,105,8.58,10.0,4,2.7,3
233,1,510,1,0,157.8,71,26.83,203.2,114,17.27,168.7,82,7.59,10.0,2,2.7,3
234,0,415,0,37,163.0,107,27.71,312.8,118,26.59,200.0,85,9.0,11.6,5,3.13,1
235,0,415,1,0,181.6,119,30.87,335.7,118,28.53,149.8,64,6.74,8.3,6,2.24,4
236,0,510,1,0,129.0,78,21.93,188.0,116,15.98,235.0,102,10.58,11.2,3,3.02,2
237,0,408,1,0,86.0,83,14.62,260.7,86,22.16,98.6,109,4.44,8.9,4,2.4,1
238,0,510,0,17,193.9,71,32.96,189.8,81,16.13,196.3,97,8.83,12.6,7,3.4,0
239,0,510,1,0,109.4,107,18.6,244.7,102,20.8,276.9,123,12.46,7.1,7,1.92,0
240,0,415,1,0,188.9,105,32.11,153.6,116,13.06,213.3,106,9.6,10.2,2,2.75,2
241,1,408,1,0,179.9,72,30.58,170.0,98,14.45,190.6,89,8.58,13.8,2,3.73,1
242,0,415,1,0,183.4,98,31.18,281.3,95,23.91,105.2,113,4.73,8.2,8,2.21,1
243,0,408,1,0,288.1,101,48.98,137.9,93,11.72,206.5,88,9.29,0.0,0,0.0,0
244,0,415,1,0,169.2,96,28.76,149.9,83,12.74,196.9,119,8.86,4.6,4,1.24,2
245,1,415,0,29,195.5,113,33.24,171.6,96,14.59,204.0,85,9.18,13.5,9,3.65,1
246,0,415,0,20,264.4,102,44.95,219.6,123,18.67,200.4,89,9.02,11.3,3,3.05,2
247,0,408,1,0,207.7,116,35.31,210.6,99,17.9,238.2,88,10.72,9.6,5,2.59,0
248,0,415,1,0,169.5,151,28.82,112.9,84,9.6,56.6,99,2.55,8.7,4,2.35,0
249,0,415,1,0,141.5,102,24.06,263.0,94,22.36,207.1,113,9.32,3.4,4,0.92,2
250,0,408,1,0,154.8,71,26.32,244.0,73,20.74,159.6,81,7.18,12.8,4,3.46,0
251,0,415,1,0,133.5,51,22.7,219.6,96,18.67,210.0,74,9.45,11.7,4,3.16,1
252,1,408,1,0,273.2,85,46.44,211.1,82,17.94,203.7,129,9.17,13.1,7,3.54,2
253,0,408,1,0,224.6,94,38.18,225.9,120,19.2,269.0,105,12.11,12.5,8,3.38,2
254,1,415,1,0,273.8,97,46.55,289.7,106,24.62,269.1,126,12.11,5.8,3,1.57,2
255,1,510,1,0,159.5,103,27.12,275.5,90,23.42,176.7,126,7.95,10.1,2,2.73,1
256,0,415,1,0,104.0,92,17.68,197.0,125,16.75,110.1,123,4.95,14.6,8,3.94,0
257,0,415,0,31,115.4,90,19.62,217.4,78,18.48,239.9,102,10.8,13.1,4,3.54,1
258,0,415,1,0,222.1,107,37.76,199.4,102,16.95,162.4,107,7.31,9.4,3,2.54,2
259,0,415,1,0,116.4,98,19.79,95.6,74,8.13,181.5,94,8.17,10.5,3,2.84,3
260,0,415,1,0,217.7,118,37.01,231.7,128,19.69,185.3,128,8.34,0.0,0,0.0,3
261,0,415,1,0,139.5,119,23.72,289.3,105,24.59,129.4,97,5.82,13.1,8,3.54,0
262,0,415,0,29,142.3,107,24.19,118.7,56,10.09,240.1,91,10.8,6.6,8,1.78,1
